站号,站名,纬度,经度,海拔高度
Z9598,三明,27.009,117.081,1701
Z9456,黑河,50.181,127.314,324
Z9855,剀里,26.963,108.689,707
Z9856,铜仁,27.822,109.218,757
Z9914,商州,33.884,109.941,931
Z9941,甘南,34.910,102.891,3355
Z9833,乐山,29.407,103.824,416
Z9770,防城港,21.533,108.265,23
Z9572,湖州,30.837,120.205,40
Z9795,宜春,27.798,114.311,135
Z9631,威海,37.150,122.377,72
Z9536,潍坊,36.662,118.910,183
Z9595,泉州,24.896,118.498,530
Z9775,玉林,22.646,110.221,177
Z9358,吕梁,37.524,111.139,1019
Z9710,襄阳,32.167,112.213,127
Z9763,连州,24.733,112.401,614
Z9517,淮安,33.243,118.826,10
Z9020,霍林郭勒,45.551,119.645,896
Z9021,满洲里,49.585,117.325,661
Z9953,吴忠,37.421,106.045,1292
Z9082,图木舒克,39.871,79.086,1096
Z9083,博乐,44.827,82.350,332
Z9794,抚州,27.894,116.262,71
Z9798,景德镇,29.361,117.214,62
Z9072,东方,19.215,108.731,32
Z9593,宁德,26.952,120.218,546
Z9438,松原,45.153,124.873,143
Z9836,甘孜,30.149,101.729,4198
Z9415,丹东,39.876,124.157,59
Z9858,六盘水,26.549,104.938,2001
Z9455,绥化,46.591,126.974,176
Z9734,衡阳,26.935,112.582,75
Z9596,东山,23.599,117.411,216
Z9883,临沧,23.910,100.188,2476
Z9578,丽水,28.544,119.928,1070
Z9527,宿迁,34.101,118.326,47
Z9375,平顶山,33.770,113.120,128
Z9874,曲靖,25.480,103.716,2194
Z9976,玉树,32.909,96.982,4685
Z9973,黄南州,34.981,101.496,3855
Z9974,海南州,36.286,100.898,3811
Z9310,邯郸,36.463,114.666,50
Z9939,陇南,33.483,105.150,2222
Z9835,雅安,29.945,103.040,1723
Z9713,黄冈,31.394,115.385,1337
Z9210,南汇,31.007,121.882,4
Z9075,崇左,22.373,107.387,234
Z9744,张家界,29.042,110.472,1465
Z9376,信阳,32.072,114.076,136
Z9732,湘潭,27.867,112.996,181
Z9737,益阳,28.471,112.027,750
Z9012,抚远,48.003,134.157,60
Z9837,阿坝,32.334,102.435,3989
Z9474,乌兰察布,41.014,113.085,1470
Z9095,务川,28.831,107.866,1629
Z9094,习水,28.272,106.220,1645
Z9096,榕江,25.920,108.595,1245
Z9909,精河,44.575,82.819,324
Z9080,奎屯,44.382,84.102,497
Z9479,锡林浩特,43.958,116.174,1218
Z9563,宣城,30.898,118.766,51
Z9024,海坨山,40.558,115.814,1994
Z9691,西双版纳,21.521,101.472,1435
Z9904,哈密,43.651,95.232,506
Z9086,阿拉尔,40.569,81.111,956
Z9537,济宁,35.430,116.362,111
Z9350,五寨,38.727,111.839,2798
Z9432,吉林,43.863,126.542,273
Z9668,信宜,22.350,110.923,175
Z9827,巴中,31.834,106.809,781
Z9930,临夏,31.834,103.384,2427
Z9093,涪陵,29.846,107.306,949
Z9041,嵊泗,30.711,122.759,169
Z9030,新源,43.497,82.954,831
Z9459,大庆,46.575,125.144,266
Z9000,张家口2,41.471,114.542,1430
Z9873,红河,23.409,103.058,2491
Z9469,宝清,46.487,132.236,115
Z9042,亳州,33.794,115.735,78
Z9025,宝坻,39.554,117.404,82
Z9026,巴林左旗,43.995,119.131,1426
Z9040,临安,30.014,119.000,1513
Z9045,龙泉,27.921,118.889,1240
Z9044,文成,27.858,120.088,1133
Z9573,嘉兴,30.739,120.761,102
Z9575,绍兴,29.524,120.539,1113
Z9743,湘西,28.408,109.585,1123
Z9886,怒江,25.792,99.136,3525
Z9994,奇台,43.900,89.550,959
Z9031,巴里坤,43.634,92.631,1695
Z9023,阿尔山,47.130,120.045,1495
ZA004,通州,39.854,116.752,20
ZA003,顺义,40.126,116.615,29
ZA005,密云,40.356,116.794,10
ZA001,房山,39.692,116.192,42
ZA006,门头沟,39.918,115.743,1606
ZA002,昌平,40.173,116.346,39
ZA008,平谷,40.199,117.167,12
ZA007,怀柔,40.723,116.650,695
ZA009,延庆,40.693,116.324,504
ZA010,怀来,40.329,115.781,500
FSXGM,高明,22.817,112.675,480
FSXSS,三水,23.462,112.900,30
ZG170,南海,23.145,113.011,20
FSXSD,顺德,22.893,113.121,15
Z9500,金湖,32.979,119.106,10
Z9100,虹桥机场,31.212,121.324,6
ZN501,贵港,23.045,109.571,73
ZN701,钦州,21.621,108.721,51
ZM200,兴化,32.963,120.042,35
ZM201,盐都,33.334,120.007,40
ZM202,阜宁,33.852,119.579,30
ZM203,大丰,33.126,120.568,25
ZM204,宝应,33.260,119.504,30
ZM205,六合,32.514,118.767,35
ZM206,浦口,32.061,118.540,20
ZM207,江宁,32.005,118.958,20
ZM208,高淳,31.373,119.056,35
ZR101,修文,26.993,106.481,1354
ZR301,盘州,25.750,104.529,2124
ZR401,关岭,25.764,105.550,1445
ZR601,思南,27.902,108.156,1069
ZX001,门源,37.462,101.546,3097
ZX201,乐都,36.366,102.191,2934
ZX701,乌兰,36.930,98.489,3002
ZT002,盈江,24.681,98.117,2322
ZA411,浦东,31.139,121.710,41
ZA420,宝山,31.377,121.379,42
ZH001,鸡西,45.304,103.910,250
ZH002,绥芬河,44.355,131.136,796
ZH003,北安,48.411,126.485,338
ZH004,七台河,45.840,130.984,195
ZH005,阿城,45.575,127.129,168
ZH006,依安,47.909,125.298,226
ZL401,辽阳,41.180,123.250,303
ZL003,铁岭,42.840,124.040,157
ZA410,浦东,30.845,121.816,30
ZA450,金山,30.896,121.191,35
ZA490,崇明,31.554,121.717,33
ZA703,武隆,29.307,107.876,1327
ZB000,邢台,37.181,114.653,71
ZB001,围场,42.257,117.083,1360
ZB501,忻府,38.394,112.695,882
ZB551,石楼,37.054,110.723,1434
